state,zipcode,number_of_returns,adjusted_gross_income_agi,avg_agi,number_of_returns_with_total_income,total_income_amount,avg_total_income,number_of_returns_with_taxable_income,taxable_income_amount,avg_taxable_income
NY,14086,17210,1091542,63.42486926,17210,1105960,64.262638,14410,752496,52.2204025
NY,14091,590,25656,43.48474576,590,26162,44.34237288,460,15850,34.45652174
NY,14092,5680,411573,72.46003521,5680,419683,73.88785211,4670,296413,63.47173448
NY,14094,24480,1223206,49.96756536,24480,1238248,50.58202614,19370,798471,41.2220444
NY,14098,1340,59362,44.3,1340,60132,44.87462687,1020,36868,36.14509804
NY,14101,820,32625,39.78658537,820,33080,40.34146341,590,18979,32.16779661
NY,14102,670,39457,58.89104478,670,39889,59.5358209,540,27202,50.37407407
NY,14103,4930,206877,41.96288032,4930,209502,42.49533469,3720,127384,34.24301075
NY,14105,2130,100398,47.13521127,2130,101713,47.75258216,1680,62144,36.99047619
NY,14108,2790,133754,47.94050179,2790,135020,48.39426523,2280,85370,37.44298246
NY,14111,1590,75447,47.4509434,1590,76567,48.15534591,1300,48076,36.98153846
NY,14113,400,18961,47.4025,400,19458,48.645,330,12131,36.76060606
NY,14120,22520,1208028,53.64245115,22520,1222124,54.26838366,18380,808946,44.01229597
NY,14125,1760,80389,45.67556818,1760,81421,46.26193182,1360,50067,36.81397059
NY,14127,15640,1508082,96.42468031,15640,1540964,98.52710997,13010,1137623,87.44219831
NY,14129,570,25934,45.49824561,570,26205,45.97368421,460,16412,35.67826087
NY,14131,2550,137133,53.77764706,2550,138855,54.45294118,2040,91694,44.94803922
NY,14132,2910,148354,50.98075601,2910,150239,51.62852234,2410,96201,39.91742739
NY,14134,150,6761,45.07333333,150,6888,45.92,110,4182,38.01818182
NY,14136,2310,101782,44.06147186,2310,103266,44.7038961,1780,63705,35.78932584
NY,14138,850,35014,41.19294118,850,35556,41.83058824,650,21474,33.03692308
NY,14139,1180,70679,59.89745763,1180,72021,61.03474576,940,48724,51.83404255
NY,14141,3730,191639,51.37774799,3730,195218,52.33726542,2950,127049,43.06745763
NY,14143,670,34458,51.42985075,670,34840,52.0,530,21821,41.17169811
NY,14145,770,38093,49.47142857,770,39693,51.54935065,620,24571,39.63064516
NY,14150,22070,993188,45.00172179,22070,1004260,45.50339828,17860,644852,36.10593505
NY,14167,800,39036,48.795,800,40198,50.2475,670,25214,37.63283582
NY,14170,1260,80647,64.00555556,1260,81995,65.07539683,1090,56406,51.74862385
NY,14171,960,43672,45.49166667,960,44196,46.0375,750,27189,36.252
NY,14172,1620,87000,53.7037037,1620,88064,54.36049383,1280,56882,44.4390625
NY,14174,2900,212043,73.11827586,2900,215448,74.29241379,2360,153279,64.94872881
NY,14201,4580,163449,35.68755459,4580,166176,36.28296943,3020,101989,33.77119205
NY,14202,1690,273126,161.6130178,1690,280360,165.8934911,1310,219830,167.8091603
NY,14203,730,39851,54.59041096,730,40779,55.86164384,520,27486,52.85769231
NY,14204,3270,90886,27.79388379,3270,91465,27.97094801,2000,48325,24.1625
NY,14206,9490,307089,32.35922023,9490,309411,32.60389884,6840,176983,25.8747076
NY,14207,9310,241264,25.91450054,9310,243711,26.1773362,5600,118343,21.13267857
NY,14208,3640,99360,27.2967033,3640,100010,27.47527473,2280,52188,22.88947368
NY,14209,3470,233799,67.37723343,3470,240791,69.39221902,2680,175435,65.4608209
NY,14210,6330,197787,31.24597156,6330,199340,31.49131122,4390,111505,25.39977221
NY,14211,8600,209384,24.34697674,8600,211086,24.54488372,4920,97978,19.91422764
NY,14212,4150,112904,27.20578313,4150,113879,27.44072289,2520,58011,23.0202381
NY,14213,9060,235592,26.00353201,9060,238789,26.35640177,5300,120117,22.66358491
NY,14214,7600,371775,48.91776316,7600,379240,49.9,5680,254526,44.81091549
NY,14215,16580,493727,29.77846803,16580,497562,30.00977081,10830,265706,24.53425669
NY,14216,11260,636533,56.53046181,11260,652967,57.98996448,9130,453262,49.64534502
NY,14217,11710,570413,48.71161401,11710,578741,49.42280102,9540,379979,39.83008386
NY,14218,8900,319257,35.87157303,8900,322138,36.1952809,6510,188629,28.97526882
NY,14219,6140,259906,42.32996743,6140,262600,42.76872964,4900,166318,33.94244898
NY,14220,11640,485045,41.67053265,11640,489639,42.06520619,9220,312091,33.84934924
NY,14221,27280,2385456,87.44340176,27280,2440209,89.45047654,22690,1771271,78.06394888
NY,14222,6020,443200,73.62126246,6020,454886,75.56245847,5130,335396,65.37933723
NY,14223,12400,624819,50.38862903,12400,633352,51.07677419,10180,418108,41.07151277
NY,14224,21400,1137990,53.1771028,21400,1150816,53.7764486,17730,765419,43.17084038
NY,14225,17630,715228,40.56880318,17630,722927,41.00550199,14100,447068,31.70695035
NY,14226,14510,1036167,71.41054445,14510,1059092,72.99048932,11760,746733,63.49770408
NY,14227,11990,554415,46.23978315,11990,559386,46.65437865,9860,358462,36.35517241
NY,14228,9180,544043,59.26394336,9180,553920,60.33986928,7340,377381,51.41430518
NY,14301,5110,137057,26.82133072,5110,138114,27.02818004,3190,71755,22.49373041
NY,14303,2430,66189,27.2382716,2430,66647,27.42674897,1580,35155,22.25
NY,14304,15250,663877,43.53291803,15250,670368,43.95855738,11970,420413,35.12222222
NY,14305,7330,264741,36.11746248,7330,267064,36.43437926,5030,157089,31.2304175
NY,14411,5480,229108,41.8080292,5480,232158,42.36459854,4150,141441,34.08216867
NY,14414,3480,184496,53.01609195,3480,186945,53.71982759,2810,121975,43.40747331
NY,14416,1910,93476,48.94031414,1910,94953,49.71361257,1540,59854,38.86623377
NY,14418,570,27806,48.78245614,570,27824,48.81403509,430,17446,40.57209302
NY,14420,7610,403079,52.96701708,7610,408352,53.65992116,6130,265377,43.29151713
NY,14422,1100,57876,52.61454545,1100,59034,53.66727273,900,38624,42.91555556
NY,14423,2330,118648,50.92188841,2330,120407,51.67682403,1890,77814,41.17142857
NY,14424,13380,831225,62.12443946,13380,846506,63.26651719,10640,571326,53.69605263
NY,14425,5800,311404,53.69034483,5800,315554,54.40586207,4690,207078,44.15309168
NY,14427,920,42579,46.28152174,920,43196,46.95217391,730,25950,35.54794521
NY,14428,4440,260964,58.77567568,4440,265211,59.73220721,3690,177468,48.09430894
NY,14432,2640,125385,47.49431818,2640,128184,48.55454545,2050,80554,39.29463415
NY,14433,1990,81946,41.17889447,1990,82918,41.66733668,1520,49372,32.48157895
NY,14435,1450,87183,60.1262069,1450,88463,61.00896552,1200,58529,48.77416667
NY,14437,4350,194392,44.68781609,4350,196648,45.20643678,3350,122755,36.64328358
NY,14441,170,6992,41.12941176,170,7070,41.58823529,130,4112,31.63076923
NY,14445,4090,171625,41.96210269,4090,174415,42.64425428,3160,108313,34.27626582
NY,14450,21470,1784559,83.1187238,21470,1814112,84.49520261,17750,1301620,73.33070423
NY,14454,2970,192110,64.68350168,2970,195739,65.90538721,2370,134742,56.85316456
NY,14456,8870,409825,46.20349493,8870,416664,46.97452086,6540,264191,40.39617737
NY,14462,290,14861,51.24482759,290,14983,51.66551724,250,9588,38.352
NY,14464,3460,162737,47.03381503,3460,164299,47.48526012,2730,102252,37.45494505
